right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
251.393907,-83.367248,26.145668,242.280223,-71.938360,25.775885
253.257836,-81.885052,26.159205,243.520264,-70.894443,25.786298
255.001095,-80.272405,26.168651,244.728035,-69.803256,25.797150
256.632336,-78.551923,26.180832,245.889751,-68.654606,25.810670
258.193267,-76.768243,26.194132,246.949844,-67.410386,25.820289
259.645860,-74.891033,26.204862,247.936780,-66.115994,25.831339
260.979059,-72.923304,26.212300,248.857386,-64.779990,25.843770
262.256062,-70.902243,26.227702,249.692315,-63.408285,25.852555
263.406402,-68.793492,26.241240,250.447522,-62.009080,25.860936
264.443391,-66.614244,26.249647,251.109409,-60.577994,25.874436
265.352467,-64.345935,26.256771,251.682146,-59.145803,25.888525
266.157239,-62.022681,26.269172,252.184255,-57.708319,25.901872
266.817208,-59.636598,26.281614,252.614983,-56.262465,25.913402
267.375485,-57.221832,26.295344,252.925683,-54.783642,25.921173
267.784738,-54.801689,26.304827,253.199785,-53.265502,25.931727
268.048113,-52.383740,26.317158,253.402381,-51.701293,25.944353
268.198501,-50.010186,26.330063,253.509816,-50.064844,25.959100
268.177398,-47.673564,26.340498,253.518929,-48.382342,25.972240
268.024209,-45.375582,26.350411,253.441521,-46.666616,25.988681
267.766856,-43.143717,26.359719,253.228897,-44.908995,26.002483
267.382893,-40.970197,26.367436,252.926837,-43.127815,26.014711
266.940616,-38.839419,26.375856,252.551041,-41.332755,26.023836
266.463273,-36.767866,26.384648,252.144342,-39.498132,26.031142
265.983920,-34.728337,26.393397,251.695107,-37.645059,26.038063
265.486230,-32.714555,26.401345,251.257336,-35.770427,26.047112
265.045112,-30.711858,26.409290,250.851133,-33.866238,26.059118
264.544326,-28.729135,26.416729,250.419144,-31.961192,26.068919
264.086265,-26.742057,26.427279,249.958264,-30.057562,26.078765
263.616642,-24.766107,26.438213,249.509821,-28.142340,26.087428
263.163422,-22.791795,26.447598,249.050797,-26.223755,26.095527
262.689460,-20.827216,26.455174,248.613300,-24.294848,26.103938
262.210281,-18.872626,26.464003,248.144954,-22.364445,26.111868
261.763432,-16.915829,26.476782,247.700918,-20.421933,26.121910
261.273892,-14.974598,26.488597,247.230796,-18.480846,26.131792
260.828520,-13.031151,26.503272,246.784174,-16.525036,26.142899
260.363411,-11.097480,26.519137,246.303108,-14.573018,26.154294
259.916390,-9.162702,26.535631,245.837663,-12.613897,26.166084
259.453763,-7.233598,26.551721,245.370283,-10.653544,26.177903
258.998834,-5.301248,26.568086,244.917003,-8.691237,26.190085
258.527113,-3.371746,26.583518,244.461775,-6.730653,26.202081
258.060087,-1.438727,26.597308,243.991415,-4.776032,26.213029
257.602293,0.498181,26.611256,243.536652,-2.819381,26.224181
257.150824,2.437924,26.625231,243.083883,-0.863607,26.235288
256.689001,4.377575,26.637871,242.628686,1.089288,26.245604
256.226624,6.318792,26.650474,242.187330,3.043751,26.256164
255.763614,8.261201,26.662870,241.730742,4.993343,26.266311
255.281896,10.201533,26.673726,241.265080,6.938583,26.276291
254.838219,12.151883,26.685339,240.791816,8.880903,26.286121
254.347070,14.091918,26.695067,240.341144,10.827742,26.296583
253.894795,16.041463,26.705446,239.897808,12.775838,26.307404
253.451454,17.993048,26.715188,239.463054,14.725991,26.318708
252.959522,19.933240,26.723555,238.979764,16.664846,26.328698
252.493267,21.879343,26.732664,238.548668,18.615981,26.340105
252.033365,23.826872,26.742432,238.083763,20.559266,26.351463
251.582521,25.776477,26.752871,237.645262,22.508783,26.364785
251.101922,27.719024,26.762504,237.175242,24.450990,26.377275
250.657198,29.669929,26.773195,236.730823,26.399262,26.390478
250.184358,31.614185,26.784997,236.268476,28.343370,26.402519
249.722746,33.560998,26.798469,235.803730,30.286991,26.413744
249.270961,35.510066,26.812126,235.368792,32.237684,26.425779
248.788972,37.451976,26.825171,234.906080,34.181887,26.437569
248.346508,39.403116,26.838911,234.459355,36.129936,26.453282
247.868144,41.345738,26.851967,233.995227,38.073941,26.469167
247.393450,43.289174,26.866445,233.549688,40.022376,26.485586
246.943546,45.238381,26.887844,233.073030,41.963547,26.504751
246.487686,47.186127,26.910690,232.639271,43.914904,26.526127
246.021984,49.131502,26.933497,232.162155,45.856066,26.546537
245.557756,51.077147,26.958004,231.730131,47.807963,26.571012
245.079394,53.019391,26.982301,231.252692,49.749181,26.596278
244.603090,54.962074,27.006909,230.804004,51.697244,26.622322
244.147123,56.909490,27.035089,230.332918,53.640086,26.650608
243.669302,58.851676,27.064192,229.886494,55.588823,26.682202
