,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
198,593.377740,54.135953,-0.752575,-0.051787,4.886500,14.305671,-0.041315,-31.878205,11.990276
199,596.372188,54.406005,-0.877046,-0.031911,4.884216,12.543517,-1.207469,-34.325361,12.045553
200,599.365040,54.672808,-0.948192,-0.016240,4.817806,10.655642,-2.281622,-36.390836,12.100553
201,602.357102,54.933198,-0.978758,-0.004852,4.692870,8.662972,-3.247630,-38.083670,12.155310
202,605.349126,55.184313,-0.981657,0.002204,4.515748,6.585921,-4.092236,-39.413025,12.209849
203,608.341860,55.423629,-0.969736,0.005074,4.293402,4.444471,-4.807540,-40.389017,12.264183
204,611.335948,55.648987,-0.954724,0.004398,4.033170,2.258219,-5.386453,-41.016039,12.318313
205,614.331627,55.858645,-0.945884,0.001104,3.742705,0.046422,-5.824242,-41.288514,12.372238
206,617.328786,56.051331,-0.950103,-0.004232,3.429772,-2.171981,-6.118938,-41.199836,12.425967
207,620.327261,56.226229,-0.973214,-0.011452,3.102090,-4.378321,-6.272055,-40.747288,12.479519
208,623.326880,56.382933,-1.020802,-0.020506,2.767174,-6.554152,-6.288251,-39.929480,12.532918
209,626.327461,56.521417,-1.098313,-0.031339,2.432201,-8.681183,-6.175420,-38.745454,12.586187
210,629.328819,56.642005,-1.211020,-0.043863,2.103862,-10.741224,-5.944967,-37.199746,12.639356
211,632.330757,56.745320,-1.363558,-0.057657,1.788249,-12.716127,-5.612963,-35.311558,12.692445
212,635.332908,56.832219,-1.557870,-0.071375,1.490741,-14.587771,-5.198315,-33.103487,12.745449
213,638.334348,56.903776,-1.790593,-0.083124,1.215879,-16.338122,-4.718964,-30.579440,12.798324
214,641.333768,56.961289,-2.053300,-0.091674,0.967241,-17.949328,-4.192588,-27.732389,12.851013
215,644.330047,57.006252,-2.335127,-0.096579,0.747353,-19.403805,-3.638320,-24.557478,12.903460
216,647.322521,57.040275,-2.624339,-0.097591,0.557638,-20.684320,-3.075725,-21.047582,12.955604
217,650.311209,57.065025,-2.908617,-0.094466,0.398387,-21.774094,-2.523801,-17.189286,13.007380
218,653.297035,57.082156,-3.175298,-0.087072,0.268774,-22.656871,-1.999074,-12.953476,13.058737
219,656.282031,57.093255,-3.413066,-0.076182,0.166924,-23.316831,-1.517170,-8.313637,13.109685
220,659.268776,57.099767,-3.615847,-0.064099,0.090037,-23.738153,-1.097773,-3.287496,13.160363
221,662.258968,57.102917,-3.784760,-0.053207,0.034498,-23.904475,-0.762049,2.088451,13.210956
222,665.253140,57.103687,-3.925249,-0.044396,-0.004074,-23.798767,-0.526986,7.797985,13.261571
223,668.251214,57.102804,-4.043351,-0.037548,-0.030782,-23.403557,-0.405442,13.836212,13.312252
224,671.252577,57.100718,-4.144294,-0.032356,-0.051366,-22.701110,-0.141838,-7.497710,13.363021
225,674.256127,57.097922,-4.232960,-0.029102,-0.058581,-23.082526,0.299366,-5.945341,13.413892
226,677.260321,57.095324,-4.315745,-0.028136,-0.043320,-23.385620,0.636496,1.135128,13.464872
227,680.263246,57.093942,-4.398543,-0.028847,-0.010815,-23.327652,0.806265,8.551148,13.515940
228,683.263348,57.094442,-4.484360,-0.029959,0.030374,-22.890798,0.813176,14.680857,13.567027
229,686.260270,57.097051,-4.572306,-0.030205,0.071873,-22.141602,0.923511,-7.010415,13.618059
230,689.254423,57.101910,-4.659277,-0.029524,0.118916,-22.498713,1.234842,-11.402574,13.668999
231,692.246379,57.109551,-4.743494,-0.028451,0.181695,-23.078409,1.456124,-2.654496,13.719838
