y,x
1897.464563,2157.66994
1797.464568,2157.640689
1697.464572,2157.611438
1597.464576,2157.582187
1497.464581,2157.552935
1397.464585,2157.523684
1297.464589,2157.494433
1197.464593,2157.465182
1097.464598,2157.435931
997.464602,2157.406679
897.464606,2157.377428
797.464611,2157.348177
697.468725,2158.255323
597.47284,2159.162469
497.476955,2160.069615
397.481069,2160.97676
297.485184,2161.883906
197.489299,2162.791052
97.493413,2163.698198
-2.502472,2164.605344
-102.498357,2165.51249
-202.494243,2166.419635
-302.490128,2167.326781
-402.486014,2168.233927
-502.481899,2169.141073
-602.477784,2170.048219
-702.47367,2170.955365
-802.469555,2171.86251
-902.46544,2172.769656
-1002.461326,2173.676802
-1102.457211,2174.583948
-1202.453096,2175.491094
-1302.448982,2176.39824
-1402.444867,2177.305386
-1502.440752,2178.212531
-1602.436638,2179.119677
-1702.432523,2180.026823
-1802.428408,2180.933969
-1902.424294,2181.841115
-2002.420179,2182.748261
-2102.416064,2183.655406
-2202.41195,2184.562552
-2302.407835,2185.469698
-2402.40372,2186.376844
-2502.399606,2187.28399
-2602.395491,2188.191136
-2702.391376,2189.098281
-2802.387262,2190.005427
-2902.383147,2190.912573
-3002.379032,2191.819719
-3102.374918,2192.726865
-3202.370803,2193.634011
-3302.366688,2194.541156
-3402.362574,2195.448302
-3502.358459,2196.355448
-3602.354344,2197.262594
-3702.35023,2198.16974
-3802.346115,2199.076886
-3902.342,2199.984032
-4002.337886,2200.891177
-4102.333771,2201.798323
-4202.329656,2202.705469
-4302.325542,2203.612615
-4402.321427,2204.519761
-4502.317312,2205.426907
-4602.313198,2206.334052
-4702.309083,2207.241198
-4802.281847,2209.574971
-4902.254611,2211.908743
-5002.227375,2214.242515
-5102.200138,2216.576288
-5202.172902,2218.91006
-5302.145666,2221.243832
-5402.11843,2223.577605
-5502.091193,2225.911377
-5602.063957,2228.245149
-5702.036721,2230.578922
-5802.009485,2232.912694
-5901.982248,2235.246466
-6001.955012,2237.580239
-6101.927776,2239.914011
-6201.90054,2242.247784
-6301.873304,2244.581556
-6401.846067,2246.915328
-6501.818831,2249.249101
-6601.791595,2251.582873
-6701.764359,2253.916645
-6801.737122,2256.250418
-6901.709886,2258.58419
-7001.68265,2260.917962
-7101.655414,2263.251735
-7201.628178,2265.585507
-7301.600941,2267.919279
-7401.573705,2270.253052
-7501.546469,2272.586824
-7601.519233,2274.920597
-7701.491996,2277.254369
-7801.46476,2279.588141
-7901.437524,2281.921914
-8001.353125,2286.029533
-8101.268725,2290.137153
-8201.184326,2294.244773
-8301.099927,2298.352393
-8401.015527,2302.460012
-8500.931128,2306.567632
-8600.846729,2310.675252
-8700.76233,2314.782872
-8800.67793,2318.890491
-8900.593531,2322.998111
-9000.509132,2327.105731
-9100.424732,2331.213351
-9200.340333,2335.32097
-9300.255934,2339.42859
-9400.171534,2343.53621
-9500.087135,2347.64383
-9600.002736,2351.751449
-9699.918336,2355.859069
-9799.833937,2359.966689
-9899.749538,2364.074309
-9999.665139,2368.181928
-10099.580739,2372.289548
-10199.49634,2376.397168
-10299.411941,2380.504788
-10399.327541,2384.612407
-10499.243142,2388.720027
-10599.158743,2392.827647
-10699.074343,2396.935267
-10798.989944,2401.042886
-10898.905545,2405.150506
-10998.821145,2409.258126
-11098.736746,2413.365746
-11198.652347,2417.473365
-11298.567948,2421.580985
-11398.483548,2425.688605
-11498.399149,2429.796225
-11598.31475,2433.903844
-11698.23035,2438.011464
-11798.145951,2442.119084
-11898.061552,2446.226704
-11997.977152,2450.334323
-12097.892753,2454.441943
-12197.808354,2458.549563
-12297.723954,2462.657183
-12397.639555,2466.764803
-12497.555156,2470.872422
-12597.470757,2474.980042
-12697.386357,2479.087662
-12797.301958,2483.195282
-12897.217559,2487.302901
-12997.133159,2491.410521
-13097.04876,2495.518141
-13196.964361,2499.625761
-13296.879961,2503.73338
-13396.795562,2507.841
-13496.711163,2511.94862
-13596.626763,2516.05624
-13696.439865,2522.16727
-13796.252967,2528.278301
-13896.066069,2534.389331
-13995.87917,2540.500362
-14095.692272,2546.611393
-14195.505374,2552.722423
-14295.318476,2558.833454
-14395.131577,2564.944484
-14494.944679,2571.055515
-14594.757781,2577.166546
-14694.570883,2583.277576
-14794.383984,2589.388607
-14894.197086,2595.499637
-14994.010188,2601.610668
-15093.82329,2607.721699
-15193.636391,2613.832729
-15293.449493,2619.94376
-15393.262595,2626.05479
-15493.075696,2632.165821
-15592.888798,2638.276852
-15692.7019,2644.387882
-15792.515002,2650.498913
-15892.328103,2656.609944
-15992.141205,2662.720974
-16091.954307,2668.832005
-16191.767409,2674.943035
-16291.58051,2681.054066
-16391.393612,2687.165097
-16491.206714,2693.276127
-16591.019816,2699.387158
-16690.832917,2705.498188
-16790.646019,2711.609219
-16890.459121,2717.72025
-16990.272223,2723.83128
-17090.085324,2729.942311
-17189.898426,2736.053341
-17289.711528,2742.164372
-17389.438742,2749.545183
-17489.165956,2756.925993
-17588.89317,2764.306804
-17688.620384,2771.687615
-17788.347598,2779.068426
-17888.074812,2786.449236
-17987.802026,2793.830047
-18087.52924,2801.210858
-18187.256454,2808.591668
-18286.983668,2815.972479
-18386.710882,2823.35329
-18486.438096,2830.734101
-18586.16531,2838.114911
-18685.892524,2845.495722
-18785.619738,2852.876533
-18885.346952,2860.257343
-18985.074166,2867.638154
-19084.80138,2875.018965
-19184.528594,2882.399776
-19284.255808,2889.780586
-19383.983022,2897.161397
-19483.710236,2904.542208
-19583.43745,2911.923019
-19683.164664,2919.303829
-19782.891878,2926.68464
-19882.619092,2934.065451
-19982.346306,2941.446261
